N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2329,1,z:ilp,nat-oop,22952,24578,5.675,1.071,9.893e-16,prime,0
2329,1,z:ilp,nat-oop,22988,24581,5.666,1.069,9.893e-16,prime,1
2330,1,z:ilp,nat-oop,22906,24595,5.689,1.074,7.342e-16,prime,0
2330,1,z:ilp,nat-oop,22757,24532,5.727,1.078,7.342e-16,prime,1
2331,1,z:ilp,nat-oop,7702,13616,16.928,1.768,2.703e-15,chain3,0
2331,1,z:ilp,nat-oop,10159,13623,12.834,1.341,2.703e-15,chain3,1
2332,1,z:ilp,nat-oop,22792,16409,5.723,0.720,8.510e-16,prime,0
2332,1,z:ilp,nat-oop,22715,16416,5.743,0.723,8.510e-16,prime,1
2333,1,z:ilp,nat-oop,22178,24581,5.885,1.108,9.386e-16,prime,0
2333,1,z:ilp,nat-oop,22632,24577,5.766,1.086,9.386e-16,prime,1
2334,1,z:ilp,nat-oop,22796,24513,5.728,1.075,8.760e-16,prime,0
2334,1,z:ilp,nat-oop,22741,24575,5.742,1.081,8.760e-16,prime,1
2335,1,z:ilp,nat-oop,28919,24475,4.517,0.846,7.441e-16,prime,0
2335,1,z:ilp,nat-oop,23107,24424,5.653,1.057,7.441e-16,prime,1
2336,1,z:ilp,nat-oop,23090,23340,5.660,1.011,1.049e-15,prime,0
2336,1,z:ilp,nat-oop,22905,23368,5.706,1.020,1.049e-15,prime,1
2337,1,z:ilp,nat-oop,9691,19002,13.493,1.961,2.002e-15,chain3,0
2337,1,z:ilp,nat-oop,9706,19122,13.472,1.970,2.002e-15,chain3,1
2338,1,z:ilp,nat-oop,22795,24600,5.739,1.079,7.366e-16,prime,0
2338,1,z:ilp,nat-oop,22804,24583,5.737,1.078,7.366e-16,prime,1
2339,1,z:ilp,nat-oop,22160,24456,5.906,1.104,8.159e-16,prime,0
2339,1,z:ilp,nat-oop,22209,24421,5.893,1.100,8.159e-16,prime,1
2340,1,z:ilp,nat-oop,3058,3978,42.826,1.301,1.175e-15,chain3,0
2340,1,z:ilp,nat-oop,3061,3992,42.773,1.304,1.175e-15,chain3,1
2341,1,z:ilp,nat-oop,11315,24543,11.578,2.169,1.835e-15,prime,0
2341,1,z:ilp,nat-oop,11486,24588,11.407,2.141,1.835e-15,prime,1
2342,1,z:ilp,nat-oop,23133,24584,5.666,1.063,6.852e-16,prime,0
2342,1,z:ilp,nat-oop,22989,24576,5.702,1.069,6.852e-16,prime,1
2343,1,z:ilp,nat-oop,22734,29472,5.768,1.296,7.656e-16,prime,0
2343,1,z:ilp,nat-oop,22779,29466,5.757,1.294,7.656e-16,prime,1
2344,1,z:ilp,nat-oop,26865,24437,4.884,0.910,1.100e-15,prime,0
2344,1,z:ilp,nat-oop,22562,24500,5.815,1.086,1.100e-15,prime,1
2345,1,z:ilp,nat-oop,22675,27562,5.789,1.215,6.845e-16,prime,0
2345,1,z:ilp,nat-oop,22687,27559,5.786,1.215,6.845e-16,prime,1
2346,1,z:ilp,nat-oop,7111,9878,18.469,1.389,1.639e-15,chain3,0
