library,N,l2_error,max_error,rt_error
MKL,2123,4.593e-16,5.884e-16,1.478e-15
VectorFFT,2124,5.761e-16,8.932e-16,1.351e-15
MKL,2124,2.833e-16,3.198e-16,9.005e-16
VectorFFT,2125,5.238e-16,5.565e-16,1.250e-15
MKL,2125,3.702e-16,4.058e-16,1.173e-15
VectorFFT,2126,5.588e-16,6.897e-16,1.173e-15
MKL,2126,4.617e-16,5.091e-16,1.397e-15
VectorFFT,2127,5.594e-16,7.763e-16,1.220e-15
MKL,2127,4.694e-16,5.240e-16,1.812e-15
VectorFFT,2128,4.421e-16,4.505e-16,1.066e-15
MKL,2128,2.550e-16,2.231e-16,9.021e-16
VectorFFT,2129,7.821e-16,8.683e-16,2.272e-15
MKL,2129,4.671e-16,5.143e-16,1.554e-15
VectorFFT,2130,5.472e-16,8.006e-16,1.225e-15
MKL,2130,3.219e-16,4.468e-16,1.010e-15
VectorFFT,2131,5.589e-16,7.074e-16,1.518e-15
MKL,2131,4.732e-16,4.853e-16,1.599e-15
VectorFFT,2132,5.014e-16,7.494e-16,1.244e-15
MKL,2132,2.684e-16,3.355e-16,8.501e-16
VectorFFT,2133,5.569e-16,7.486e-16,1.274e-15
MKL,2133,3.334e-16,3.857e-16,1.226e-15
VectorFFT,2134,5.512e-16,9.402e-16,1.326e-15
MKL,2134,3.162e-16,3.915e-16,1.129e-15
VectorFFT,2135,5.728e-16,9.391e-16,1.410e-15
MKL,2135,3.230e-16,3.385e-16,9.529e-16
VectorFFT,2136,5.376e-16,6.988e-16,1.221e-15
MKL,2136,3.051e-16,4.790e-16,9.849e-16
VectorFFT,2137,5.529e-16,6.975e-16,1.361e-15
MKL,2137,4.890e-16,5.183e-16,1.823e-15
VectorFFT,2138,5.610e-16,6.392e-16,1.434e-15
MKL,2138,4.560e-16,3.911e-16,1.652e-15
VectorFFT,2139,7.487e-16,1.027e-15,2.765e-15
MKL,2139,4.557e-16,4.656e-16,1.498e-15
VectorFFT,2140,5.803e-16,8.548e-16,1.320e-15
MKL,2140,3.340e-16,4.584e-16,1.145e-15
VectorFFT,2141,5.676e-16,1.026e-15,1.283e-15
MKL,2141,4.606e-16,4.638e-16,1.520e-15
VectorFFT,2142,5.759e-16,7.403e-16,1.399e-15
MKL,2142,2.834e-16,3.141e-16,1.071e-15
VectorFFT,2143,1.038e-15,9.075e-16,2.673e-15
MKL,2143,4.667e-16,3.962e-16,1.607e-15
VectorFFT,2144,5.643e-16,1.034e-15,1.466e-15
MKL,2144,2.750e-16,3.171e-16,1.059e-15
VectorFFT,2145,5.591e-16,5.461e-16,1.452e-15
MKL,2145,3.338e-16,4.571e-16,1.061e-15
VectorFFT,2146,1.540e-15,2.940e-15,6.357e-15
MKL,2146,2.926e-16,4.036e-16,8.819e-16
VectorFFT,2147,5.676e-16,7.826e-16,1.371e-15
MKL,2147,4.701e-16,4.733e-16,1.294e-15
VectorFFT,2148,5.588e-16,7.015e-16,1.317e-15
MKL,2148,4.625e-16,5.087e-16,1.651e-15
VectorFFT,2149,5.540e-16,7.090e-16,1.379e-15
MKL,2149,4.614e-16,5.362e-16,1.278e-15
VectorFFT,2150,4.674e-16,4.246e-16,1.329e-15
MKL,2150,3.000e-16,3.224e-16,1.041e-15
VectorFFT,2151,5.705e-16,5.641e-16,1.534e-15
MKL,2151,4.785e-16,4.505e-16,1.556e-15
VectorFFT,2152,5.707e-16,9.107e-16,1.247e-15
MKL,2152,4.562e-16,4.765e-16,1.388e-15
VectorFFT,2153,5.603e-16,7.068e-16,1.310e-15
MKL,2153,4.671e-16,5.021e-16,1.569e-15
VectorFFT,2154,5.456e-16,8.887e-16,1.416e-15
MKL,2154,4.717e-16,5.404e-16,1.918e-15
VectorFFT,2155,5.739e-16,7.889e-16,1.273e-15
MKL,2155,4.608e-16,4.709e-16,1.484e-15
VectorFFT,2156,4.884e-16,7.505e-16,1.701e-15
MKL,2156,2.706e-16,3.050e-16,9.372e-16
VectorFFT,2157,5.401e-16,6.390e-16,1.319e-15
MKL,2157,4.691e-16,3.966e-16,1.463e-15
VectorFFT,2158,5.595e-16,7.213e-16,1.288e-15
MKL,2158,3.112e-16,3.205e-16,9.642e-16
VectorFFT,2159,5.504e-16,7.342e-16,1.296e-15
MKL,2159,4.771e-16,5.052e-16,1.491e-15
VectorFFT,2160,5.207e-16,5.484e-16,1.084e-15
MKL,2160,2.677e-16,3.268e-16,8.476e-16
VectorFFT,2161,7.539e-16,7.877e-16,2.102e-15
MKL,2161,4.750e-16,5.123e-16,1.479e-15
VectorFFT,2162,8.743e-16,1.114e-15,3.041e-15
MKL,2162,3.117e-16,4.907e-16,9.470e-16
VectorFFT,2163,5.568e-16,8.134e-16,1.175e-15
MKL,2163,4.621e-16,4.572e-16,1.478e-15
VectorFFT,2164,5.644e-16,5.941e-16,1.209e-15
MKL,2164,4.532e-16,3.831e-16,1.388e-15
VectorFFT,2165,5.781e-16,8.819e-16,1.287e-15
MKL,2165,4.825e-16,5.112e-16,1.704e-15
VectorFFT,2166,5.370e-16,5.833e-16,1.443e-15
MKL,2166,2.825e-16,3.543e-16,1.007e-15
