library,N,l2_error,max_error,rt_error
VectorFFT,73,7.600e-16,7.148e-16,1.584e-15
MKL,73,2.145e-16,2.235e-16,4.475e-16
VectorFFT,74,3.878e-16,4.244e-16,1.071e-15
MKL,74,2.183e-16,2.256e-16,6.732e-16
VectorFFT,75,3.400e-16,3.607e-16,5.426e-16
MKL,75,3.801e-16,3.677e-16,7.917e-16
VectorFFT,76,2.991e-16,3.428e-16,7.354e-16
MKL,76,1.712e-16,1.769e-16,5.407e-16
VectorFFT,77,3.106e-16,3.785e-16,5.716e-16
MKL,77,2.507e-16,2.870e-16,5.050e-16
VectorFFT,78,4.218e-16,5.301e-16,9.564e-16
MKL,78,2.261e-16,2.922e-16,4.914e-16
VectorFFT,79,7.176e-16,8.494e-16,1.612e-15
MKL,79,2.622e-16,3.107e-16,5.204e-16
VectorFFT,80,2.127e-16,2.655e-16,4.917e-16
MKL,80,1.699e-16,2.027e-16,5.445e-16
VectorFFT,81,3.870e-16,3.703e-16,6.692e-16
MKL,81,3.001e-16,3.717e-16,7.301e-16
VectorFFT,82,5.212e-16,5.479e-16,1.219e-15
MKL,82,2.421e-16,2.902e-16,5.657e-16
VectorFFT,83,6.290e-16,7.108e-16,8.426e-16
MKL,83,2.477e-16,2.201e-16,5.247e-16
VectorFFT,84,2.708e-16,2.954e-16,6.323e-16
MKL,84,2.051e-16,2.830e-16,5.510e-16
VectorFFT,85,4.357e-16,4.850e-16,9.373e-16
MKL,85,2.669e-16,2.905e-16,5.539e-16
VectorFFT,86,6.636e-16,9.564e-16,8.155e-16
MKL,86,2.024e-16,2.690e-16,4.762e-16
VectorFFT,87,3.744e-16,6.317e-16,9.509e-16
MKL,87,2.321e-16,2.638e-16,8.745e-16
VectorFFT,88,3.043e-16,4.208e-16,5.822e-16
MKL,88,1.935e-16,1.991e-16,4.728e-16
VectorFFT,89,5.311e-16,4.632e-16,1.497e-15
MKL,89,2.755e-16,3.331e-16,7.621e-16
VectorFFT,90,3.611e-16,3.221e-16,5.152e-16
MKL,90,2.056e-16,2.130e-16,5.202e-16
VectorFFT,91,3.944e-16,5.469e-16,7.152e-16
MKL,91,2.503e-16,2.378e-16,5.038e-16
VectorFFT,92,4.053e-16,6.768e-16,1.054e-15
MKL,92,1.752e-16,2.088e-16,4.242e-16
VectorFFT,93,4.044e-16,3.885e-16,9.889e-16
MKL,93,2.299e-16,2.560e-16,5.417e-16
VectorFFT,94,5.341e-16,5.442e-16,1.130e-15
MKL,94,2.304e-16,2.536e-16,6.569e-16
VectorFFT,95,3.355e-16,3.873e-16,7.380e-16
MKL,95,2.961e-16,3.584e-16,8.985e-16
VectorFFT,96,2.727e-16,2.723e-16,7.186e-16
MKL,96,1.687e-16,1.959e-16,4.663e-16
VectorFFT,97,6.344e-16,5.886e-16,1.255e-15
MKL,97,4.070e-16,4.010e-16,8.824e-16
VectorFFT,98,4.320e-16,5.041e-16,1.061e-15
MKL,98,2.161e-16,2.398e-16,5.906e-16
VectorFFT,99,3.684e-16,3.171e-16,8.283e-16
MKL,99,2.186e-16,2.230e-16,5.718e-16
VectorFFT,100,2.797e-16,2.630e-16,6.090e-16
MKL,100,2.115e-16,2.041e-16,4.925e-16
VectorFFT,101,5.813e-16,6.403e-16,1.320e-15
MKL,101,4.271e-16,5.389e-16,1.001e-15
VectorFFT,102,3.917e-16,4.901e-16,8.157e-16
MKL,102,2.111e-16,2.526e-16,5.306e-16
VectorFFT,103,8.410e-16,7.578e-16,1.885e-15
MKL,103,4.172e-16,4.838e-16,1.342e-15
VectorFFT,104,3.433e-16,4.657e-16,9.592e-16
MKL,104,2.221e-16,3.190e-16,6.267e-16
VectorFFT,105,3.512e-16,3.894e-16,5.917e-16
MKL,105,2.437e-16,3.471e-16,5.490e-16
VectorFFT,106,7.384e-16,8.516e-16,1.155e-15
MKL,106,1.944e-16,2.188e-16,4.448e-16
VectorFFT,107,5.500e-16,6.356e-16,1.332e-15
MKL,107,3.686e-16,3.819e-16,9.509e-16
VectorFFT,108,4.278e-16,5.205e-16,9.729e-16
MKL,108,1.794e-16,2.437e-16,5.739e-16
VectorFFT,109,7.841e-16,7.882e-16,1.822e-15
MKL,109,4.873e-16,3.993e-16,1.224e-15
VectorFFT,110,3.082e-16,3.505e-16,6.712e-16
MKL,110,2.033e-16,2.476e-16,6.819e-16
VectorFFT,111,6.824e-16,8.722e-16,1.306e-15
MKL,111,2.264e-16,2.476e-16,4.900e-16
VectorFFT,112,2.935e-16,4.502e-16,5.333e-16
MKL,112,1.826e-16,2.827e-16,5.334e-16
VectorFFT,113,5.765e-16,4.542e-16,1.137e-15
MKL,113,4.465e-16,5.003e-16,1.190e-15
VectorFFT,114,4.092e-16,5.768e-16,9.652e-16
MKL,114,2.177e-16,2.463e-16,5.315e-16
VectorFFT,115,3.974e-16,4.015e-16,8.758e-16
MKL,115,2.181e-16,2.292e-16,6.675e-16
VectorFFT,116,3.526e-16,3.333e-16,7.799e-16
MKL,116,1.918e-16,1.805e-16,4.711e-16
VectorFFT,117,3.956e-16,4.773e-16,9.947e-16
MKL,117,2.275e-16,2.479e-16,5.167e-16
VectorFFT,118,6.605e-16,7.692e-16,1.101e-15
MKL,118,2.443e-16,3.557e-16,5.261e-16
VectorFFT,119,4.330e-16,5.932e-16,9.781e-16
MKL,119,2.213e-16,2.497e-16,4.844e-16
VectorFFT,120,3.950e-16,4.100e-16,1.024e-15
MKL,120,2.202e-16,2.480e-16,5.443e-16
VectorFFT,121,3.031e-16,3.642e-16,8.550e-16
MKL,121,2.264e-16,3.269e-16,5.408e-16
VectorFFT,122,6.668e-16,8.509e-16,1.894e-15
MKL,122,2.671e-16,2.520e-16,6.039e-16
VectorFFT,123,6.227e-16,5.793e-16,1.666e-15
MKL,123,3.084e-16,3.635e-16,8.692e-16
VectorFFT,124,3.749e-16,3.777e-16,8.662e-16
MKL,124,2.144e-16,3.361e-16,4.940e-16
VectorFFT,125,3.049e-16,2.931e-16,7.048e-16
MKL,125,2.755e-16,2.985e-16,5.332e-16
VectorFFT,126,3.582e-16,4.300e-16,9.722e-16
MKL,126,2.055e-16,1.782e-16,5.713e-16
VectorFFT,127,8.187e-16,7.237e-16,2.096e-15
MKL,127,4.406e-16,5.719e-16,1.269e-15
VectorFFT,128,2.139e-16,2.641e-16,6.667e-16
MKL,128,1.498e-16,1.740e-16,5.556e-16
VectorFFT,129,3.782e-16,4.228e-16,7.839e-16
MKL,129,2.883e-16,4.024e-16,5.384e-16
VectorFFT,130,4.231e-16,4.039e-16,7.660e-16
MKL,130,2.418e-16,2.220e-16,5.531e-16
VectorFFT,131,7.658e-16,8.118e-16,1.433e-15
MKL,131,4.434e-16,3.750e-16,1.134e-15
VectorFFT,132,3.957e-16,3.809e-16,7.835e-16
MKL,132,2.016e-16,2.106e-16,5.086e-16
VectorFFT,133,3.295e-16,3.675e-16,1.074e-15
MKL,133,2.561e-16,3.426e-16,5.302e-16
VectorFFT,134,5.593e-16,7.655e-16,8.492e-16
MKL,134,2.359e-16,3.519e-16,5.256e-16
VectorFFT,135,3.880e-16,3.593e-16,7.916e-16
MKL,135,2.537e-16,2.499e-16,6.264e-16
VectorFFT,136,3.927e-16,3.619e-16,6.397e-16
MKL,136,1.846e-16,1.924e-16,4.077e-16
VectorFFT,137,7.761e-16,6.832e-16,1.660e-15
MKL,137,3.835e-16,3.597e-16,1.235e-15
VectorFFT,138,4.268e-16,3.891e-16,1.008e-15
MKL,138,2.166e-16,2.304e-16,6.699e-16
VectorFFT,139,7.514e-16,5.822e-16,2.225e-15
MKL,139,3.506e-16,3.026e-16,1.004e-15
VectorFFT,140,3.250e-16,4.537e-16,6.344e-16
MKL,140,2.339e-16,3.450e-16,5.195e-16
VectorFFT,141,3.850e-16,3.934e-16,9.247e-16
MKL,141,2.641e-16,4.162e-16,6.771e-16
VectorFFT,142,6.280e-16,6.051e-16,1.273e-15
MKL,142,2.716e-16,4.085e-16,6.397e-16
VectorFFT,143,4.201e-16,4.991e-16,9.160e-16
MKL,143,2.151e-16,1.567e-16,6.130e-16
VectorFFT,144,3.694e-16,4.958e-16,9.445e-16
MKL,144,1.905e-16,3.163e-16,5.045e-16
VectorFFT,145,3.727e-16,5.283e-16,8.832e-16
MKL,145,2.522e-16,2.674e-16,6.077e-16
VectorFFT,146,5.614e-16,6.860e-16,1.017e-15
MKL,146,2.568e-16,3.068e-16,5.083e-16
VectorFFT,147,3.346e-16,3.976e-16,7.051e-16
MKL,147,2.579e-16,2.843e-16,7.537e-16
VectorFFT,148,3.351e-16,3.591e-16,6.921e-16
MKL,148,2.108e-16,2.546e-16,5.344e-16
VectorFFT,149,6.217e-16,5.813e-16,1.759e-15
MKL,149,3.725e-16,4.943e-16,9.569e-16
VectorFFT,150,3.544e-16,4.313e-16,9.801e-16
MKL,150,2.589e-16,2.922e-16,6.244e-16
VectorFFT,151,7.259e-16,5.722e-16,2.005e-15
MKL,151,4.012e-16,3.252e-16,1.062e-15
VectorFFT,152,3.105e-16,4.142e-16,7.492e-16
MKL,152,2.479e-16,3.717e-16,5.724e-16
VectorFFT,153,5.118e-16,5.865e-16,9.726e-16
MKL,153,3.934e-16,4.778e-16,9.154e-16
VectorFFT,154,3.715e-16,5.610e-16,1.194e-15
MKL,154,2.141e-16,2.332e-16,6.049e-16
VectorFFT,155,4.270e-16,5.105e-16,8.791e-16
MKL,155,2.738e-16,2.365e-16,5.863e-16
VectorFFT,156,4.815e-16,5.414e-16,1.004e-15
MKL,156,2.139e-16,2.484e-16,5.517e-16
VectorFFT,157,8.777e-16,1.086e-15,1.857e-15
MKL,157,3.812e-16,4.020e-16,8.435e-16
VectorFFT,158,5.046e-16,6.465e-16,1.123e-15
MKL,158,2.506e-16,3.711e-16,6.072e-16
VectorFFT,159,4.642e-16,5.046e-16,9.075e-16
MKL,159,2.479e-16,3.181e-16,6.084e-16
VectorFFT,160,2.655e-16,2.699e-16,5.835e-16
MKL,160,1.899e-16,2.074e-16,5.414e-16
VectorFFT,161,4.173e-16,3.966e-16,9.935e-16
MKL,161,2.352e-16,2.103e-16,5.323e-16
VectorFFT,162,4.582e-16,4.753e-16,1.132e-15
