N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
14641,32,11x11x11x11/DIT,baked,859362,2646675,37.721,3.080,2.247e-14
117649,4,7x7x7x7x7x7/DIT,baked,1291500,2678350,30.688,2.074,2.888e-14
15625,32,25x25x25/DIT,baked,908613,2946887,38.332,3.243,5.037e-14
2000,256,5x4x4x5x5/DIT,JIT,755400,2130938,37.162,2.821,3.425e-14
131072,4,4x4x4x4x8x4x4x4/DIT,baked,1619013,2417425,27.526,1.493,8.350e-15
16384,32,4x4x4x4x64/DIT,baked,1042787,2051138,35.194,1.967,1.996e-14
2048,256,4x4x4x4x8/DIT,JIT,818925,1519913,35.212,1.856,8.255e-15
16807,32,7x7x7x7x7/DIT,baked,942300,3045587,40.058,3.232,2.593e-14
2197,256,13x13x13/DIT,JIT,1470575,2432175,21.229,1.654,3.407e-14
2205,256,7x7x5x3x3/DIT,JIT,880688,2625338,35.594,2.981,2.644e-14
2310,256,6x5x7x11/DIT,JIT,931175,2259538,35.480,2.427,2.394e-14
2401,256,7x7x7x7/DIT,JIT,772800,3215925,44.657,4.161,2.434e-14
20000,32,16x5x25x10/DIT,JIT,1024212,3186263,44.640,3.111,4.550e-14
161051,4,11x11x11x11x11/DIT,baked,1531688,4952063,36.375,3.233,2.498e-14
2800,256,4x4x7x5x5/DIT,JIT,1092188,2957050,37.577,2.707,2.975e-14
2801,256,[override],rader-JIT,3505325,8796838,11.713,2.510,5.062e-14
3125,256,5x5x5x5x5/DIT,JIT,1200075,3877725,38.696,3.231,4.670e-14
28561,32,13x13x13x13/DIT,baked,2005563,5648300,33.726,2.816,3.559e-14
30030,32,13x7x6x11x5/DIT,JIT,1852687,4797275,38.575,2.589,3.116e-14
4000,256,4x4x10x5x5/DIT,JIT,1579650,4655062,38.784,2.947,3.868e-14
4001,256,[override],rader-JIT,6814900,9396337,8.992,1.379,6.553e-14
32768,32,4x4x4x4x2x16x4/DIT,baked,2387863,4131288,32.935,1.730,8.663e-15
4096,256,4x4x4x64/DIT,JIT,2125350,3930363,29.602,1.849,1.985e-14
4620,256,12x11x5x7/DIT,JIT,2042125,6331038,35.253,3.100,2.509e-14
5000,256,8x5x5x5x5/DIT,JIT,2010700,5354762,39.111,2.663,4.439e-14
390625,4,25x25x25x25/DIT,baked,4487088,13071612,32.342,2.913,7.069e-14
50000,32,16x25x5x25/DIT,JIT,3199025,8939825,39.036,2.795,4.622e-14
6615,256,3x5x7x7x3x3/DIT,JIT,4032913,9116762,26.646,2.261,2.465e-14
6930,256,10x11x7x3x3/DIT,JIT,4369412,8969900,25.901,2.053,2.813e-14
60060,32,11x7x10x13x6/DIT,JIT,4915812,11691800,31.031,2.378,3.730e-14
65536,32,4x4x4x4x4x4x16/DIT,baked,8399213,12199738,19.975,1.452,8.843e-15
8192,256,4x4x4x4x32/DIT,JIT,5997787,10744975,22.728,1.791,1.402e-14
78125,32,25x25x5x25/DIT,baked,6479525,18001112,31.355,2.778,6.179e-14
10000,256,4x5x5x5x20/DIT,JIT,7516050,15756062,22.629,2.096,4.725e-14
11025,256,3x5x7x7x5x3/DIT,JIT,8378763,19193475,22.617,2.291,3.490e-14
100000,32,16x10x25x25/DIT,JIT,8364675,23742650,31.771,2.838,5.075e-14
823543,4,7x7x7x7x7x7x7/DIT,baked,15631488,41472300,20.707,2.653,3.478e-14
13860,256,12x11x7x5x3/DIT,JIT,9754512,24182762,25.023,2.479,2.647e-14
14641,256,11x11x11x11/DIT,JIT,10439300,29904200,24.841,2.865,2.255e-14
117649,32,7x7x7x7x7x7/DIT,baked,13671075,33480587,23.193,2.449,3.466e-14
15625,256,5x5x5x5x5x5/DIT,JIT,13154188,29599075,21.182,2.250,5.958e-14
131072,32,16x4x4x4x4x32/DIT,baked,18986900,29975550,18.777,1.579,1.808e-14
16384,256,4x4x4x4x64/DIT,JIT,13415613,29080638,21.885,2.168,2.335e-14
16807,256,7x7x7x7x7/DIT,JIT,11270488,30364825,26.793,2.694,2.862e-14
20000,256,32x5x5x25/DIT,JIT,16302463,38379463,22.436,2.354,4.213e-14
161051,32,11x11x11x11x11/DIT,baked,19686838,56237100,22.640,2.857,2.668e-14
28561,256,13x13x13x13/DIT,JIT,28243700,60388700,19.159,2.138,3.984e-14
30030,256,10x11x7x13x3/DIT,JIT,29218412,63607300,19.568,2.177,3.479e-14
32768,256,4x16x16x32/DIT,JIT,33273913,58909525,18.908,1.770,2.485e-14
390625,32,25x25x25x25/DIT,baked,43079300,146033188,26.949,3.390,6.825e-14
50000,256,5x2x10x20x25/DIT,JIT,62657825,102240963,15.944,1.632,5.729e-14
60060,256,12x13x11x5x7/DIT,JIT,52938987,126503612,23.052,2.390,3.487e-14
65536,256,4x4x8x16x32/DIT,JIT,76786238,119046975,17.479,1.550,2.567e-14
