N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
65536,32,4x4x4x4x4x4x16/DIT,baked,8399213,12199738,19.975,1.452,8.843e-15
8192,256,4x4x4x4x32/DIT,JIT,5997787,10744975,22.728,1.791,1.402e-14
78125,32,25x25x5x25/DIT,baked,6479525,18001112,31.355,2.778,6.179e-14
10000,256,4x5x5x5x20/DIT,JIT,7516050,15756062,22.629,2.096,4.725e-14
11025,256,3x5x7x7x5x3/DIT,JIT,8378763,19193475,22.617,2.291,3.490e-14
100000,32,16x10x25x25/DIT,JIT,8364675,23742650,31.771,2.838,5.075e-14
823543,4,7x7x7x7x7x7x7/DIT,avg2,15509794,37797150,20.869,2.437,3.480e-14
13860,256,12x11x7x5x3/DIT,JIT,9754512,24182762,25.023,2.479,2.647e-14
14641,256,11x11x11x11/DIT,JIT,10439300,29904200,24.841,2.865,2.255e-14
117649,32,7x7x7x7x7x7/DIT,baked,13671075,33480587,23.193,2.449,3.466e-14
15625,256,5x5x5x5x5x5/DIT,JIT,13154188,29599075,21.182,2.250,5.958e-14
131072,32,16x4x4x4x4x32/DIT,baked,18986900,29975550,18.777,1.579,1.808e-14
16384,256,4x4x4x4x64/DIT,JIT,13415613,29080638,21.885,2.168,2.335e-14
16807,256,7x7x7x7x7/DIT,JIT,11270488,30364825,26.793,2.694,2.862e-14
20000,256,32x5x5x25/DIT,JIT,16302463,38379463,22.436,2.354,4.213e-14
161051,32,11x11x11x11x11/DIT,baked,19686838,56237100,22.640,2.857,2.668e-14
28561,256,13x13x13x13/DIT,JIT,28243700,60388700,19.159,2.138,3.984e-14
30030,256,10x11x7x13x3/DIT,JIT,29218412,63607300,19.568,2.177,3.479e-14
32768,256,4x16x16x32/DIT,JIT,33273913,58909525,18.908,1.770,2.485e-14
390625,32,25x25x25x25/DIT,baked,43079300,146033188,26.949,3.390,6.825e-14
50000,256,5x2x10x20x25/DIT,JIT,62657825,102240963,15.944,1.632,5.729e-14
60060,256,12x13x11x5x7/DIT,JIT,52938987,126503612,23.052,2.390,3.487e-14
65536,256,4x4x8x16x32/DIT,JIT,76786238,119046975,17.479,1.550,2.567e-14
