# performance corpus for the refactor, derived from BANKED data.
# target_ns = min(csv, store); a cell qualifies only when the two
# independent saved latencies corroborate within 10%.
# Method: N>=10 paced runs, take the MINIMUM, pass within 10%.
# Noise is one-sided, so the minimum is the robust estimator.
#
# N        K     target_ns    chain                dif  rt_err
# excl N=243      K=256   csv=62078       store=53445       1.16x  3.3.3.3.3
# excl N=2197     K=4     csv=14212       store=12250       1.16x  13.13.13
# excl N=2205     K=32    csv=74482       store=86080       1.16x  7.3.7.3.5
# excl N=10000    K=4     csv=76020       store=65946       1.15x  8.5.25.10
# excl N=5000     K=32    csv=226975      store=198285      1.14x  5.10.10.10
# excl N=4000     K=4     csv=19081       store=21834       1.14x  8.10.10.5
# excl N=126      K=256   csv=22690       store=19852       1.14x  6.3.7
# excl N=8192     K=256   csv=5997787     store=5248185     1.14x  4.4.4.4.32
# excl N=2205     K=4     csv=13002       store=14788       1.14x  7.3.7.5.3
# excl N=119      K=32    csv=2589        store=2924        1.13x  17.7
# excl N=50000    K=4     csv=470489      store=417000      1.13x  16.5.25.25
# excl N=6615     K=256   csv=4032913     store=3578355     1.13x  3.5.7.7.3.3
# excl N=100000   K=4     csv=977537      store=867800      1.13x  10.16.25.25
# excl N=1000     K=4     csv=4314        store=4853        1.12x  10.5.20
# excl N=823543   K=4     csv=15631488    store=13956210    1.12x  7.7.7.7.7.7.7
# excl N=2000     K=4     csv=9250        store=10355       1.12x  25.8.10
# excl N=2310     K=4     csv=13064       store=14545       1.11x  11.6.5.7
# excl N=4620     K=256   csv=2042125     store=1838295     1.11x  12.11.5.7
# excl N=95       K=256   csv=23932       store=21598       1.11x  5.19
# excl N=30030    K=256   csv=29218412    store=26393485    1.11x  10.11.7.13.3
# excl N=512      K=4     csv=1359        store=1504        1.11x  8.8.8
# excl N=60060    K=32    csv=4915812     store=4445070     1.11x  11.7.10.13.6
# excl N=500      K=256   csv=98493       store=108790      1.10x  5.4.5.5
# excl N=60       K=4     csv=139         store=126         1.10x  5.12
# excl N=525      K=4     csv=2375        store=2617        1.10x  7.5.3.5
# excl N=128      K=4     csv=249         store=226         1.10x  8.16
# excl N=2197     K=256   csv=1470575     store=1336465     1.10x  13.13.13
#
# PLAN DRIFT - the CSV plan no longer matches the banked chain.
# drift N=128      K=32    csv_plan=4x32/DIF           store=16.8 dif=0
#
# usable=132 excluded=57 plan_drift=1 csv_only=48 store_cells=259
