N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
65,1,z:ilp,nat-ip,58,66,34.011,1.147,5.868e-16,2p,0
65,1,z:ilp,nat-ip,57,66,34.112,1.145,5.868e-16,2p,1
66,1,z:ilp,nat-ip,49,65,40.336,1.311,6.157e-16,2p,0
66,1,z:ilp,nat-ip,49,65,40.575,1.321,6.157e-16,2p,1
67,1,z:ilp,nat-ip,171,736,11.907,4.312,9.808e-16,prime,0
67,1,z:ilp,nat-ip,171,736,11.873,4.301,9.808e-16,prime,1
68,1,z:ilp,nat-ip,59,137,35.099,2.321,9.965e-16,2p,0
68,1,z:ilp,nat-ip,62,137,33.238,2.204,9.965e-16,2p,1
69,1,z:ilp,nat-ip,115,196,18.345,1.702,8.102e-16,2p,0
69,1,z:ilp,nat-ip,96,195,22.058,2.045,8.102e-16,2p,1
70,1,z:ilp,nat-ip,48,77,44.584,1.609,3.505e-16,2p,0
70,1,z:ilp,nat-ip,48,78,44.561,1.616,3.505e-16,2p,1
71,1,z:ilp,nat-ip,169,838,12.904,4.952,7.646e-16,prime,0
71,1,z:ilp,nat-ip,165,839,13.209,5.078,7.646e-16,prime,1
72,1,z:ilp,nat-ip,48,74,46.685,1.562,5.906e-16,2p,0
72,1,z:ilp,nat-ip,48,74,46.706,1.560,5.906e-16,2p,1
73,1,z:ilp,nat-ip,175,898,12.917,5.136,7.901e-16,prime,0
73,1,z:ilp,nat-ip,172,899,13.107,5.217,7.901e-16,prime,1
74,1,z:ilp,nat-ip,438,294,5.242,0.670,5.919e-16,prime,0
74,1,z:ilp,nat-ip,436,294,5.264,0.673,5.919e-16,prime,1
75,1,z:ilp,nat-ip,64,77,36.240,1.196,4.922e-16,2p,0
75,1,z:ilp,nat-ip,60,78,39.236,1.309,4.922e-16,2p,1
76,1,z:ilp,nat-ip,77,163,30.976,2.133,7.163e-16,2p,0
76,1,z:ilp,nat-ip,77,164,30.842,2.127,7.163e-16,2p,1
77,1,z:ilp,nat-ip,62,74,38.752,1.190,5.342e-16,2p,0
77,1,z:ilp,nat-ip,63,74,38.430,1.182,5.342e-16,2p,1
78,1,z:ilp,nat-ip,64,80,38.378,1.256,1.048e-15,2p,0
78,1,z:ilp,nat-ip,63,80,39.106,1.269,1.048e-15,2p,1
79,1,z:ilp,nat-ip,212,1082,11.722,5.096,1.670e-15,prime,0
79,1,z:ilp,nat-ip,215,1085,11.603,5.057,1.670e-15,prime,1
80,1,z:ilp,nat-ip,49,69,51.846,1.424,3.453e-16,2p,0
80,1,z:ilp,nat-ip,48,70,52.646,1.449,3.453e-16,2p,1
81,1,z:ilp,nat-ip,63,86,40.463,1.348,6.525e-16,2p,0
81,1,z:ilp,nat-ip,63,86,40.578,1.351,6.525e-16,2p,1
82,1,z:ilp,nat-ip,442,369,5.900,0.836,7.408e-16,prime,0
82,1,z:ilp,nat-ip,453,369,5.752,0.815,7.408e-16,prime,1
83,1,z:ilp,nat-ip,459,1239,5.768,2.700,7.081e-16,prime,0
83,1,z:ilp,nat-ip,459,1241,5.769,2.706,7.081e-16,prime,1
84,1,z:ilp,nat-ip,61,87,44.327,1.428,3.271e-16,2p,0
84,1,z:ilp,nat-ip,62,86,43.164,1.382,3.271e-16,2p,1
85,1,z:ilp,nat-ip,88,188,31.002,2.144,1.109e-15,2p,0
85,1,z:ilp,nat-ip,86,189,31.494,2.180,1.109e-15,2p,1
86,1,z:ilp,nat-ip,457,405,6.044,0.886,5.480e-16,prime,0
86,1,z:ilp,nat-ip,458,406,6.037,0.887,5.480e-16,prime,1
87,1,z:ilp,nat-ip,423,330,6.626,0.780,5.635e-16,prime,0
87,1,z:ilp,nat-ip,423,329,6.632,0.778,5.635e-16,prime,1
88,1,z:ilp,nat-ip,63,86,45.138,1.372,8.421e-16,2p,0
88,1,z:ilp,nat-ip,63,86,45.292,1.378,8.421e-16,2p,1
89,1,z:ilp,nat-ip,221,1498,13.014,6.763,8.744e-16,prime,0
89,1,z:ilp,nat-ip,219,1503,13.178,6.874,8.744e-16,prime,1
90,1,z:ilp,nat-ip,62,94,47.016,1.520,6.385e-16,2p,0
90,1,z:ilp,nat-ip,62,95,46.971,1.521,6.385e-16,2p,1
91,1,z:ilp,nat-ip,78,92,37.925,1.172,9.093e-16,2p,0
91,1,z:ilp,nat-ip,78,91,37.843,1.160,9.093e-16,2p,1
92,1,z:ilp,nat-ip,112,231,26.869,2.066,1.836e-15,2p,0
92,1,z:ilp,nat-ip,126,231,23.737,1.828,1.836e-15,2p,1
93,1,z:ilp,nat-ip,447,372,6.806,0.832,6.555e-16,prime,0
93,1,z:ilp,nat-ip,443,376,6.870,0.849,6.555e-16,prime,1
94,1,z:ilp,nat-ip,451,494,6.825,1.094,8.017e-16,prime,0
94,1,z:ilp,nat-ip,449,494,6.855,1.099,8.017e-16,prime,1
95,1,z:ilp,nat-ip,110,226,28.327,2.049,1.127e-15,2p,0
95,1,z:ilp,nat-ip,110,226,28.480,2.059,1.127e-15,2p,1
96,1,z:ilp,nat-ip,54,96,58.166,1.764,4.932e-16,2p,0
96,1,z:ilp,nat-ip,54,95,58.166,1.744,4.932e-16,2p,1
97,1,z:ilp,nat-ip,220,651,14.567,2.962,7.067e-16,prime,0
97,1,z:ilp,nat-ip,220,650,14.580,2.961,7.067e-16,prime,1
98,1,z:ilp,nat-ip,118,123,27.464,1.043,4.740e-16,flat,0
98,1,z:ilp,nat-ip,119,123,27.286,1.038,4.740e-16,flat,1
99,1,z:ilp,nat-ip,85,119,38.504,1.402,1.061e-15,2p,0
99,1,z:ilp,nat-ip,85,111,38.414,1.303,1.061e-15,2p,1
100,1,z:ilp,nat-ip,66,103,50.273,1.556,3.942e-16,2p,0
100,1,z:ilp,nat-ip,66,103,50.131,1.552,3.942e-16,2p,1
101,1,z:ilp,nat-ip,236,559,14.257,2.371,7.591e-16,prime,0
101,1,z:ilp,nat-ip,236,558,14.256,2.366,7.591e-16,prime,1
102,1,z:ilp,nat-ip,103,203,32.927,1.963,1.039e-15,2p,0
102,1,z:ilp,nat-ip,94,203,36.160,2.157,1.039e-15,2p,1
103,1,z:ilp,nat-ip,312,561,11.023,1.796,1.988e-15,prime,0
103,1,z:ilp,nat-ip,300,559,11.481,1.863,1.988e-15,prime,1
104,1,z:ilp,nat-ip,77,101,45.241,1.312,9.436e-16,2p,0
104,1,z:ilp,nat-ip,77,102,45.170,1.325,9.436e-16,2p,1
105,1,z:ilp,nat-ip,85,111,41.571,1.315,6.229e-16,2p,0
105,1,z:ilp,nat-ip,84,111,41.793,1.322,6.229e-16,2p,1
106,1,z:ilp,nat-ip,449,661,7.946,1.474,6.671e-16,prime,0
106,1,z:ilp,nat-ip,448,661,7.956,1.474,6.671e-16,prime,1
107,1,z:ilp,nat-ip,452,562,7.985,1.244,1.000e-15,prime,0
107,1,z:ilp,nat-ip,448,562,8.046,1.254,1.000e-15,prime,1
108,1,z:ilp,nat-ip,80,119,45.778,1.498,7.447e-16,2p,0
108,1,z:ilp,nat-ip,80,119,45.334,1.482,7.447e-16,2p,1
109,1,z:ilp,nat-ip,265,564,13.899,2.127,1.015e-15,prime,0
109,1,z:ilp,nat-ip,265,564,13.897,2.125,1.015e-15,prime,1
