@vw2 1.2
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = pre-1.2 record, served to concrete-lay requests only as the fallback tier
@legend wildcards: q=*/ord=*/place=* are migration-vintage only (from= required); fresh banks stamp concrete axes
@legend role: role=comp marks an engine-internal COMPONENT recipe; absent = the problem verdict at that key (equality-matched)
@legend evolution: new fields/axes land here as additive minor versions, never in frozen legacy files; reserved: sp_kv
@legend see src/core/wisdom2/README.md
@cell t=r2c n=1024 q=32 ord=scr place=ip | eng=stride chain=8.4.4.8 vars=log3.flat.t1s.flat dif=0 | ran=32 ns=32378.69 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=1024 q=64 ord=scr place=ip | eng=stride chain=8.4.4.8 vars=log3.t1s.t1s.flat dif=0 | ran=64 ns=66893.33 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=16 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=34.0 metric=fwd1 units=ns date=2026-08-26
@cell t=r2c n=16 q=32 ord=scr place=ip | eng=stride chain=16 vars=flat dif=0 | ran=32 ns=44.30 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=16 q=64 ord=scr place=ip | eng=stride chain=16 vars=flat dif=0 | ran=64 ns=81.86 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=c2r n=16 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=25.0 metric=bwd1 units=ns date=2026-08-26
@cell t=r2c n=128 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=race ns=80.0 metric=fwd1 units=ns date=2026-09-02
@cell t=c2r n=128 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=race ns=78.3 metric=bwd1 units=ns date=2026-09-02
@cell t=r2c n=255 q=1 ord=nat place=oop role=comp lay=il | eng=oddr route=bridge | ran=1 src=race date=2026-09-02
@cell t=r2c n=405 q=1 ord=nat place=oop role=comp lay=il | eng=oddr route=rfft | ran=1 src=race date=2026-09-02
