library,N,l2_error,max_error,rt_error
VectorFFT,25x128,3.660e-16,4.956e-16,1.405e-15
MKL,25x128,2.140e-16,3.040e-16,6.691e-16
VectorFFT,25x256,2.738e-16,3.639e-16,1.114e-15
MKL,25x256,2.222e-16,2.579e-16,8.609e-16
VectorFFT,25x512,3.812e-16,4.329e-16,1.317e-15
MKL,25x512,2.298e-16,3.146e-16,8.805e-16
VectorFFT,26x64,3.780e-16,4.125e-16,1.382e-15
MKL,26x64,3.781e-16,3.706e-16,1.045e-15
VectorFFT,26x128,3.891e-16,5.406e-16,1.575e-15
MKL,26x128,4.276e-16,4.930e-16,1.418e-15
VectorFFT,26x256,3.941e-16,4.609e-16,1.486e-15
MKL,26x256,4.463e-16,4.843e-16,1.502e-15
VectorFFT,26x512,4.046e-16,6.387e-16,1.665e-15
MKL,26x512,4.743e-16,5.729e-16,1.591e-15
VectorFFT,27x64,3.492e-16,3.574e-16,1.233e-15
MKL,27x64,2.020e-16,2.167e-16,5.878e-16
VectorFFT,27x128,3.530e-16,3.461e-16,1.246e-15
MKL,27x128,2.131e-16,2.505e-16,7.113e-16
VectorFFT,27x256,3.602e-16,3.670e-16,1.344e-15
MKL,27x256,2.207e-16,2.434e-16,7.256e-16
VectorFFT,27x512,3.667e-16,3.952e-16,1.221e-15
MKL,27x512,2.262e-16,2.889e-16,8.299e-16
VectorFFT,29x64,3.378e-16,4.183e-16,9.615e-16
MKL,29x64,3.261e-16,4.120e-16,9.618e-16
VectorFFT,29x128,3.380e-16,3.745e-16,1.004e-15
MKL,29x128,3.531e-16,3.577e-16,1.092e-15
VectorFFT,29x256,3.501e-16,3.986e-16,1.082e-15
MKL,29x256,3.738e-16,3.873e-16,1.420e-15
VectorFFT,29x512,3.605e-16,4.125e-16,1.306e-15
MKL,29x512,3.886e-16,4.908e-16,1.678e-15
VectorFFT,31x64,3.617e-16,3.803e-16,1.113e-15
MKL,31x64,3.836e-16,3.676e-16,1.035e-15
VectorFFT,31x128,3.720e-16,4.214e-16,1.314e-15
MKL,31x128,4.113e-16,4.162e-16,1.167e-15
VectorFFT,31x256,3.733e-16,3.987e-16,1.337e-15
MKL,31x256,4.269e-16,5.027e-16,1.209e-15
VectorFFT,31x512,3.830e-16,4.046e-16,1.335e-15
MKL,31x512,4.458e-16,4.896e-16,1.347e-15
VectorFFT,33x64,3.065e-16,3.827e-16,9.743e-16
MKL,33x64,2.093e-16,2.743e-16,6.803e-16
VectorFFT,33x128,3.140e-16,3.119e-16,1.124e-15
MKL,33x128,2.396e-16,2.619e-16,7.855e-16
VectorFFT,33x256,3.174e-16,3.021e-16,1.055e-15
MKL,33x256,2.572e-16,2.973e-16,9.220e-16
VectorFFT,33x512,3.238e-16,3.776e-16,1.169e-15
MKL,33x512,2.798e-16,3.952e-16,1.179e-15
VectorFFT,35x64,2.545e-16,2.828e-16,7.772e-16
MKL,35x64,2.345e-16,3.549e-16,7.936e-16
VectorFFT,35x128,2.647e-16,2.695e-16,9.621e-16
MKL,35x128,2.408e-16,2.865e-16,8.863e-16
VectorFFT,35x256,2.740e-16,2.886e-16,1.010e-15
MKL,35x256,2.431e-16,2.536e-16,8.202e-16
VectorFFT,35x512,2.827e-16,2.796e-16,1.273e-15
MKL,35x512,2.496e-16,2.745e-16,9.801e-16
VectorFFT,37x64,3.317e-16,3.053e-16,1.186e-15
MKL,37x64,7.131e-16,6.718e-16,2.190e-15
VectorFFT,37x128,3.364e-16,3.476e-16,1.289e-15
MKL,37x128,7.728e-16,8.576e-16,2.544e-15
VectorFFT,37x256,3.457e-16,3.945e-16,1.413e-15
MKL,37x256,7.880e-16,8.426e-16,2.633e-15
VectorFFT,37x512,3.515e-16,3.220e-16,1.282e-15
MKL,37x512,8.158e-16,7.865e-16,2.751e-15
VectorFFT,39x64,3.893e-16,5.236e-16,1.236e-15
MKL,39x64,3.978e-16,4.318e-16,1.375e-15
VectorFFT,39x128,3.983e-16,4.805e-16,1.273e-15
MKL,39x128,4.514e-16,4.938e-16,1.474e-15
VectorFFT,39x256,4.012e-16,4.602e-16,1.586e-15
MKL,39x256,4.672e-16,4.844e-16,1.690e-15
VectorFFT,39x512,4.109e-16,5.333e-16,1.443e-15
MKL,39x512,4.917e-16,4.873e-16,1.990e-15
VectorFFT,41x64,3.140e-16,2.796e-16,8.802e-16
MKL,41x64,4.389e-16,4.211e-16,1.329e-15
VectorFFT,41x128,3.240e-16,3.813e-16,1.090e-15
MKL,41x128,4.188e-16,4.599e-16,1.295e-15
VectorFFT,41x256,3.227e-16,4.099e-16,1.230e-15
MKL,41x256,4.256e-16,4.468e-16,1.531e-15
VectorFFT,41x512,3.360e-16,3.827e-16,1.366e-15
MKL,41x512,4.305e-16,5.023e-16,1.331e-15
VectorFFT,43x64,3.609e-16,4.305e-16,1.101e-15
MKL,43x64,4.027e-16,3.934e-16,1.146e-15
VectorFFT,43x128,3.608e-16,4.656e-16,1.374e-15
MKL,43x128,4.292e-16,4.123e-16,1.526e-15
VectorFFT,43x256,3.680e-16,3.986e-16,1.295e-15
MKL,43x256,4.381e-16,4.571e-16,1.628e-15
VectorFFT,43x512,3.746e-16,3.928e-16,1.292e-15
MKL,43x512,4.588e-16,5.373e-16,1.727e-15
VectorFFT,44x64,2.650e-16,2.786e-16,8.984e-16
MKL,44x64,2.375e-16,3.085e-16,7.894e-16
VectorFFT,44x128,2.696e-16,3.134e-16,1.016e-15
MKL,44x128,2.386e-16,2.910e-16,8.512e-16
VectorFFT,44x256,2.801e-16,3.466e-16,1.057e-15
MKL,44x256,2.484e-16,2.525e-16,8.743e-16
VectorFFT,44x512,2.913e-16,2.985e-16,1.052e-15
MKL,44x512,2.529e-16,2.952e-16,9.231e-16
VectorFFT,45x64,3.422e-16,3.691e-16,9.645e-16
MKL,45x64,2.308e-16,2.204e-16,7.643e-16
VectorFFT,45x128,3.468e-16,3.763e-16,1.124e-15
MKL,45x128,2.384e-16,3.026e-16,7.707e-16
VectorFFT,45x256,3.523e-16,4.060e-16,1.077e-15
MKL,45x256,2.434e-16,2.510e-16,7.976e-16
VectorFFT,45x512,3.619e-16,3.794e-16,1.255e-15
MKL,45x512,2.507e-16,3.015e-16,9.526e-16
VectorFFT,46x64,3.548e-16,4.948e-16,1.156e-15
MKL,46x64,6.112e-16,7.033e-16,1.740e-15
VectorFFT,46x128,3.613e-16,4.593e-16,1.276e-15
MKL,46x128,5.968e-16,6.488e-16,1.761e-15
VectorFFT,46x256,3.699e-16,3.690e-16,1.315e-15
MKL,46x256,5.960e-16,5.557e-16,1.875e-15
VectorFFT,46x512,3.798e-16,4.311e-16,1.357e-15
MKL,46x512,5.951e-16,6.443e-16,2.006e-15
VectorFFT,47x64,3.451e-16,3.124e-16,1.135e-15
MKL,47x64,1.248e-15,1.038e-15,3.101e-15
VectorFFT,47x128,3.586e-16,3.227e-16,1.193e-15
MKL,47x128,1.274e-15,1.200e-15,2.964e-15
VectorFFT,47x256,3.585e-16,3.053e-16,1.202e-15
MKL,47x256,1.273e-15,1.436e-15,3.371e-15
VectorFFT,47x512,3.668e-16,3.857e-16,1.342e-15
MKL,47x512,1.283e-15,1.466e-15,3.154e-15
