N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
2205,256,odd_comp,3x7x5x7x3,880495,2513000,35.602,12.474,2.854
6615,4,odd_comp,3x3x5x3x7x7,60328,105783,27.833,15.873,1.753
6615,32,odd_comp,7x3x7x3x3x5,389015,1020145,34.530,13.167,2.622
6615,256,odd_comp,5x7x7x3x3x3,3648480,9178090,29.454,11.709,2.516
11025,4,odd_comp,25x3x3x7x7,88138,183602,33.595,16.127,2.083
11025,32,odd_comp,7x3x7x25x3,644470,1807020,36.756,13.109,2.804
11025,256,odd_comp,3x7x3x7x25,8327225,18443830,22.757,10.275,2.215
2310,4,mixed_deep,11x6x5x7,14880,26890,34.692,19.198,1.807
2310,32,mixed_deep,7x6x5x11,80585,215063,51.248,19.203,2.669
2310,256,mixed_deep,5x6x7x11,893085,2210035,36.993,14.949,2.475
6930,4,mixed_deep,3x5x6x11x7,57549,93394,30.728,18.934,1.623
6930,32,mixed_deep,7x5x3x11x6,377750,929370,37.450,15.222,2.460
6930,256,mixed_deep,6x11x7x3x5,3731000,8646915,30.333,13.088,2.318
30030,4,mixed_deep,5x6x11x7x13,290735,503865,30.727,17.730,1.733
30030,32,mixed_deep,13x10x7x3x11,1985825,4866165,35.989,14.687,2.450
30030,256,mixed_deep,10x7x11x13x3,28195350,58021620,20.278,9.854,2.058
60060,4,mixed_deep,5x12x7x11x13,613965,1114110,31.057,17.115,1.815
60060,32,mixed_deep,11x7x10x6x13,4720310,12291125,32.317,12.411,2.604
60060,256,mixed_deep,12x13x11x5x7,59605625,129461895,20.474,9.426,2.172
4620,4,mixed_deep,5x12x7x11,30694,65770,36.647,17.103,2.143
4620,32,mixed_deep,7x6x10x11,201795,616940,44.594,14.586,3.057
4620,256,mixed_deep,12x7x5x11,1999765,5549675,35.999,12.972,2.775
13860,4,mixed_deep,5x3x12x7x11,112050,211628,34.037,18.022,1.889
13860,32,mixed_deep,7x5x6x11x6,793780,2184240,38.438,13.969,2.752
13860,256,mixed_deep,6x10x11x7x3,10066860,24221075,24.247,10.078,2.406
